names,members,birth_name,birth_place,birth_date,gender,category,spotify track artist audio.artist_name,spotify track artist audio.artist_id
Francesca Battistelli,,Francesca Battistelli,"New York City, U.S.",{{birth date and age|1985|5|18}},,,Francesca Battistelli,29ywwKkxfoH7iWwNY1UezA
Big Daddy Weave,"* Mike Weaver
* Joe Shirk
* Jeremy Redmon
* Brian Beihl",,"[[Mobile, Alabama]]",,,,Big Daddy Weave,4SsMf4SjhOlSqEitcprgBt
Chris Tomlin,,Christopher Dwayne Tomlin,"[[Grand Saline, Texas]], U.S.",{{Birth date and age|1972|5|4}},male,American_male_singer-songwriters,Chris Tomlin,6pRi6EIPXz4QJEOEsBaA0m
Aaron Shust,,Aaron Michael Shust,"[[Chicago]], [[Illinois]], U.S.",{{Birth date and age|1975|10|31}},,,Aaron Shust,0oM8RWZXhJYSnzGdepP7fM
Jeremy Camp,,Jeremy Thomas Camp,"[[Lafayette, Indiana]], U.S.",{{birth date and age|1978|01|12}},male,American_male_singers,Jeremy Camp,5wpEBloInversG3zp3CVAk
Matthew West,,Matthew Joseph West,"[[Downers Grove, Illinois]], U.S.",{{birth date and age|1977|4|25|mf|=|y}},male,American_male_guitarists,Matthew West,6e8OTLDQpaz1Tl2GEaxsNj
Newsboys,"* Jody Davis
* Duncan Phillips
* Jeff Frankenstein
* [[Michael Tait]]",,"[[Mooloolaba]], [[Queensland]], Australia",,,,Newsboys,1SZMaiNHfdUuU0qZKZ6y62
Matt Maher,,Matthew Guion Maher,"[[Newfoundland and Labrador|Newfoundland]], Canada",{{Birth date and age|1974|11|10}},,,Matt Maher,1dPl8axUL09mso0myZqPZW
Building 429,"* Michael Anderson
* Aaron Branch
* Jesse Garcia
* Steven Stewart
* [[Jason Roy (musician)|Jason Roy]]",,"[[Fayetteville, North Carolina]], U.S.",,,,Building 429,6Le23Aqwqi28fQUzfv4dHY
Phil Wickham,,Philip David Wickham,"[[San Diego, California]], U.S.",{{birth date and age|1984|04|05}},,,Phil Wickham,5d1JhBfyb58upMXCZOdbQu
Danny Gokey,,Daniel Jay Gokey,"[[Milwaukee, Wisconsin]], {{nowrap|United States}}",{{birth date and age|mf|=|yes|1980|4|24}},male,American_country_singers,Danny Gokey,5Yu3b48Y29bZlI1cLPOZJz
Lauren Daigle,,Lauren Ashley Daigle,"[[Lake Charles, Louisiana]], U.S.",{{birth date and age|1991|9|9}},,,Lauren Daigle,40LHVA5BTQp9RxHOQ9JPYj
Brandon Heath,,Brandon Heath Knell,"[[Nashville, Tennessee]], U.S.",{{birth date and age|1978|7|21}},male,American_male_guitarists,Brandon Heath,0W7wIkmxoGQbnZYn2z2sLj
Matt Redman,,Matthew James Redman,"[[Watford]], England",{{birth date and age|1974|02|14|df|=|y}},,,Matt Redman,0bz9hDpUbAw5JElgEiuIYZ
Third Day,,,"[[Marietta, Georgia]], U.S.",,,,Third Day,7uWXomGkKtIq9B4XgA3gch
Sidewalk Prophets,"* David Frey
* Cal Joslin
* Daniel Macal
* Ben Young",,"[[Anderson, Indiana|Anderson]], [[Indiana]], U.S.",,,,Sidewalk Prophets,2SMYoM2Kbcj6rI6U3FRc4U
TobyMac,,Kevin Michael McKeehan,"[[Fairfax, Virginia]], U.S.",{{Birth date and age|1964|10|22}},,,TobyMac,5VX8hxrcfJWwaTLiqGUHG3
Colton Dixon,,Michael Colton Dixon,"{{nowrap|[[Murfreesboro, Tennessee]], United States}}",{{birth_date_and age|1991|10|19}},,,Colton Dixon,52oVYHQ99ORZzeig2YGo4R
Audio Adrenaline,,,"[[Grayson, Kentucky|Grayson]], [[Kentucky]]",,,,Audio Adrenaline,01PBXLThJADrhufsPS5tER
Cory Asbury,,Cory Hunter Asbury,"[[Kansas City, Missouri|Kansas City]], [[Missouri]]",{{Birth date and age|1985|10|15}},,,Cory Asbury,2gXmjQIxCO8lMnSncluZaU
Jackopierce,Jack O'Neill & Cary Pierce,,"[[Dallas, Texas]]",,,,Jackopierce,1D9nOrYVEVg5nRbUABsrcW
Quad City DJ's,"* Tamara Wallace
* C.C. Lemonhead
* Tony WHOA!",,"[[Jacksonville, Florida]], U.S.",,,,Quad City DJ's,4mar1GMMEhvGyJdWagu6KS
Merry Clayton,,,"[[New Orleans]], [[Louisiana]], U.S.",{{birth date and age|1948|12|25}},female,African-American_female_singers,Merry Clayton,71cyZ6pH0KrM2MdtO8RGmy
The Cadillac Three,{{hlist|[[Jaren Johnston]]|Neil Mason|Kelby Ray}},,"[[Nashville, Tennessee]], U.S.",,,,The Cadillac Three,1nivFfWu6oXBFDNyVfFU5x
Miranda Lambert,,Miranda Leigh Lambert,"[[Lindale, Texas]], U.S.",{{Birth date and age|1983|11|10}},female,American_female_country_singers,Miranda Lambert,66lH4jAE7pqPlOlzUKbwA0
Trent Tomlinson,,,"[[Kennett, Missouri]], United States",{{Birth date and age|1975|07|03}},male,American_country_singers,Trent Tomlinson,1Zn69emN3uZsF6YwCrkgYp
Jimmy Buffett,,James William Buffett,"{{nowrap|[[Key West, Florida]], U.S.}}",{{birth date and age|1946|12|25}},male,American_country_singers,Jimmy Buffett,28AyklUmMECPwdfo8NEsV0
Thompson Square,Keifer Thompson<br />Shawna Thompson,,"[[Nashville, Tennessee]], U.S.",,,,Thompson Square,4zoDsB6shJiIUmxlfC9aHj
Uncle Kracker,,Matthew Shafer,"[[Mount Clemens, Michigan]], U.S.",{{birth date and age|1974|6|6}},male,American_country_singers,Uncle Kracker,2DnqqkzzDKm3vAoyHtn8So
Garrett Hedlund,,Garrett John Hedlund,"[[Roseau, Minnesota]], U.S.",{{birth date and age|1984|9|3}},male,American_male_singers,Garrett Hedlund,2rIaXMzFroqNiyyTkayeWU
Cody Johnson,,Cody Daniel Johnson,"[[Huntsville, Texas]], U.S.",{{birth date and age|1987|05|21}},male,American_country_singers,Cody Johnson,6zLBxLdl60ekBLpawtT63I
Calvin Harris,,Adam Richard Wiles,"[[Dumfries]], Scotland",{{birth date and age|1984|1|17|df|=|y}},male,Scottish_male_singers,Calvin Harris,7CajNmpbOovFoOoasH2HaY
Ben E. King,,Benjamin Earl Nelson,"[[Harlem]], [[New York (state)|New York]]",{{birth date|1938|09|28}},male,African-American_male_singers,Ben E. King,3plJVWt88EqjvtuB4ZDRV3
