song,track_id,release_date,song_popularity,duration(ms),explicit,artist_name,artist_id,artist_follower_no,artist_genres,artist_popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,birth_year,artist_country,gender,band,repetitions_rate,mean_sentence_len,mean_word_len,unique_words_rate,total_words,total_char,count_word_i,count_word_you,count_word_oh,count_word_know,count_word_it,count_word_like,count_word_got,count_word_and,count_word_yeah,count_word_we,count_word_one,count_word_love,count_word_the,count_word_go,count_word_time,count_word_get,count_word_me,count_word_when,count_word_come,count_word_all
Lie To Me,3567eNX2L3RkkMkwspncMH,2018-06-15,68,150467,False,5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,8707577,"['boy band', 'dance pop', 'pop', 'post-teen pop']",78,0.0115,0.633,0.478,0.0,0.0,0.103,-5.571,1.0,0.0359,159.951,4.0,0.692,,Australia,,True,30.19,29.11,4.94,0.18,261.0,814.0,22.0,21.0,4.0,5.0,3.0,0.0,1.0,4.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
Lie To Me - Acoustic,0oX4kLiXk2hqlhdXddedhC,2019-02-01,49,155476,False,5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,8707577,"['boy band', 'dance pop', 'pop', 'post-teen pop']",78,0.147,0.653,0.493,0.0,10.0,0.0852,-6.392,1.0,0.0296,154.892,4.0,0.853,,Australia,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
Lie To Me - Recorded at Spotify Studios NYC,47DHoEPxnSkT4f626qo5Mw,2018-08-01,41,160523,False,5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,8707577,"['boy band', 'dance pop', 'pop', 'post-teen pop']",78,0.911,0.6,0.293,0.0,10.0,0.123,-9.841,1.0,0.0304,100.015,5.0,0.545,,Australia,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
Moving Along,4UQajPk0EPvbwWTl0fYi4C,2018-06-15,58,197517,False,5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,8707577,"['boy band', 'dance pop', 'pop', 'post-teen pop']",78,0.00529,0.713,0.829,0.0,11.0,0.221,-4.297,0.0,0.203,149.996,4.0,0.845,,Australia,,True,56.68,34.48,5.12,0.12,398.0,1473.0,21.0,41.0,0.0,5.0,18.0,7.0,0.0,2.0,0.0,0.0,6.0,1.0,7.0,0.0,0.0,0.0,11.0,1.0,1.0,1.0
Monster Among Men,7CQN84rMdkBzXJVsvefOM6,2018-06-15,56,192332,False,5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,8707577,"['boy band', 'dance pop', 'pop', 'post-teen pop']",78,0.0918,0.495,0.678,0.0,0.0,0.078,-4.627,1.0,0.0583,166.105,4.0,0.475,,Australia,,True,45.93,34.75,4.74,0.12,315.0,934.0,23.0,2.0,20.0,0.0,7.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0
Empty Wallets,5kayspK9ep7h9nryvrCsFh,2018-06-15,56,187651,False,5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,8707577,"['boy band', 'dance pop', 'pop', 'post-teen pop']",78,0.0123,0.591,0.709,0.0,1.0,0.338,-4.324,0.0,0.0431,188.073,4.0,0.441,,Australia,,True,37.11,23.09,4.78,0.13,303.0,1087.0,6.0,23.0,2.0,0.0,18.0,0.0,2.0,4.0,0.0,11.0,0.0,0.0,8.0,2.0,0.0,2.0,6.0,2.0,0.0,16.0
Radio Protector,1QuJm7XRpFjEfOU6A01mw2,2008-03-24,39,328186,False,65daysofstatic,6DVVsQAnpHdJjb1nYuOQ6g,129710,['post-rock'],39,0.0944,0.296,0.85,0.737,7.0,0.0807,-6.22,1.0,0.0501,175.25,4.0,0.0796,,United Kingdom,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
Rebellion (Lies),0xOeB16JDbBJBJKSdHbElT,2004-06-16,63,310893,False,8-Bit Arcade,21VBNkZvKxrI9zmfFRxXvn,38652,['8-bit'],40,0.00744,0.401,0.933,0.627,8.0,0.318,-5.682,1.0,0.0344,127.193,4.0,0.734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rosetta Stoned,2JN8wDYhJqwNH6ei7MOdDS,2017-06-26,1,674266,False,8-Bit Arcade,21VBNkZvKxrI9zmfFRxXvn,38652,['8-bit'],40,0.000952,0.49,0.556,0.811,5.0,0.115,-8.993,1.0,0.039,110.529,4.0,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I Ran (So Far Away),4OdhffpvG3HxDJMxYOKh97,1982-04-30,64,308933,False,A Flock Of Seagulls,0uAjBatvB4ubpd4kCfjmNt,492718,"['new romantic', 'new wave', 'new wave pop', 'synthpop']",56,0.00299,0.507,0.642,0.606,2.0,0.141,-12.923,1.0,0.0323,146.154,4.0,0.631,,United Kingdom,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
Rockstar,6KbcsH2mvgvG3f8nLcIY8d,2014-01-20,45,236480,False,A Great Big World,5xKp3UyavIBUsGy3DQdXeF,503424,"['modern rock', 'neo mellow', 'piano rock', 'pop', 'pop rock', 'viral pop']",62,0.0813,0.658,0.756,2.04e-06,8.0,0.0932,-7.766,1.0,0.0288,137.986,4.0,0.621,,United States,,True,46.36,45.24,5.38,0.22,321.0,1122.0,16.0,2.0,0.0,2.0,3.0,0.0,1.0,5.0,0.0,4.0,1.0,0.0,15.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0
This Is My Father's World,5MBHprWbl2bkNplRVarZ6Q,2012-10-12,38,314073,False,A New Liturgy,5WeVXS5COv8kOfCkfe5YMW,6670,"['christian uplift', 'roots worship']",27,0.0333,0.64,0.496,7.46e-05,11.0,0.225,-11.905,1.0,0.0508,100.945,4.0,0.228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
For the Beauty of the Earth,5G7QaeDEy7kFPac5Hr5INn,2012-10-12,37,326907,False,A New Liturgy,5WeVXS5COv8kOfCkfe5YMW,6670,"['christian uplift', 'roots worship']",27,0.0787,0.681,0.643,0.000271,5.0,0.233,-6.967,1.0,0.0296,116.288,4.0,0.492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Outsider,6CqYhhUPJORx1vvdTNc8jv,2003-01-01,62,246000,False,A Perfect Circle,4DFhHyjvGYa9wxdHUjtDkc,1571472,"['alternative metal', 'alternative rock', 'nu metal', 'rap rock', 'rock', 'supergroup']",60,0.000111,0.328,0.843,0.801,6.0,0.0496,-6.644,1.0,0.0887,113.329,4.0,0.422,,United States,,True,37.95,35.9,5.78,0.2,290.0,1153.0,6.0,18.0,0.0,0.0,13.0,3.0,0.0,4.0,0.0,0.0,3.0,0.0,2.0,0.0,3.0,3.0,2.0,0.0,0.0,2.0
Oceans Away,6A8dnC0xkiuWN4BshmTB2I,2017-05-19,61,194013,False,A R I Z O N A,7hOGhpa8RMSuDOWntGIAJt,389505,"['electropop', 'indie poptimism', 'pop', 'pop dance', 'tropical house']",61,0.13,0.617,0.642,0.157,8.0,0.0929,-8.624,1.0,0.0334,105.885,4.0,0.221,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric Touch,0AS090YJNo3vh75GrFxwbX,2017-05-19,53,198493,False,A R I Z O N A,7hOGhpa8RMSuDOWntGIAJt,389505,"['electropop', 'indie poptimism', 'pop', 'pop dance', 'tropical house']",61,0.248,0.652,0.784,4.24e-05,0.0,0.0851,-4.102,1.0,0.0398,100.995,4.0,0.445,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
I Was Wrong,3a2MbZSw3NGRWHqsCJ4iQj,2017-05-19,45,217293,False,A R I Z O N A,7hOGhpa8RMSuDOWntGIAJt,389505,"['electropop', 'indie poptimism', 'pop', 'pop dance', 'tropical house']",61,0.196,0.824,0.502,0.0559,6.0,0.105,-9.38,1.0,0.0349,118.006,4.0,0.563,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
Cross My Mind,4FjPJhlEIWB9QVKFTc78Nn,2017-05-19,55,218760,False,A R I Z O N A,7hOGhpa8RMSuDOWntGIAJt,389505,"['electropop', 'indie poptimism', 'pop', 'pop dance', 'tropical house']",61,0.0848,0.651,0.747,0.000555,0.0,0.122,-5.456,1.0,0.0382,93.048,4.0,0.476,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
This Stage Is Your Life,2uinj9QpP1DUsob3MKeVpi,2012-06-05,17,229173,False,A Silent Film,7HO5HS3yeokRBGVC4nSKIb,33227,"['oxford indie', 'stomp pop']",30,0.000603,0.489,0.872,0.0419,4.0,0.104,-5.099,0.0,0.035,135.009,4.0,0.439,,United Kingdom,,True,27.45,32.44,5.86,0.28,172.0,704.0,4.0,8.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Award Tour,5YTM7OgQDt9EJAYcfHLniJ,1993-11-09,63,226440,True,A Tribe Called Quest,09hVIj6vWgoCDtT03h8ZCa,1718164,"['alternative hip hop', 'conscious hip hop', 'east coast hip hop', 'gangster rap', 'golden age hip hop', 'hardcore hip hop', 'hip hop', 'jazz rap', 'queens hip hop', 'rap']",65,0.00308,0.812,0.6,8.38e-06,7.0,0.173,-9.414,1.0,0.254,97.338,4.0,0.555,,United States,,False,,,,,,,,,,,,,,,,,,,,,,,,,,
Can I Kick It?,3Ti0GdlrotgwsAVBBugv0I,1990-04-17,71,251573,False,A Tribe Called Quest,09hVIj6vWgoCDtT03h8ZCa,1718164,"['alternative hip hop', 'conscious hip hop', 'east coast hip hop', 'gangster rap', 'golden age hip hop', 'hardcore hip hop', 'hip hop', 'jazz rap', 'queens hip hop', 'rap']",65,0.173,0.848,0.666,0.000699,0.0,0.129,-6.547,1.0,0.274,96.662,4.0,0.744,,United States,,False,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Jane,4dVpf9jZjcORqGTLUaeYj9,2017-08-18,74,173600,True,A$AP Ferg,5dHt1vcEm9qb8fCyLcB3HL,3386449,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop']",71,0.0651,0.797,0.844,0.0,11.0,0.087,-5.482,1.0,0.275,170.142,4.0,0.52,1988.0,United States,male,False,,,,,,,,,,,,,,,,,,,,,,,,,,
Dancing Queen,0GjEhVFGZW8afUYGChu3Rr,1976,83,230400,False,ABBA,0LcJLqbBmaGUft1e9Mm8HV,8435887,"['europop', 'swedish pop']",80,0.358,0.543,0.87,0.000939,9.0,0.792,-6.514,1.0,0.0428,100.804,4.0,0.754,,Sweden,,True,31.0,28.92,4.91,0.25,218.0,870.0,0.0,16.0,2.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,21.0,1.0,3.0,2.0,0.0,2.0,1.0,0.0
Voulez-Vous,17OqI90oTFZ3J8PVu6j07V,1979,71,309173,False,ABBA,0LcJLqbBmaGUft1e9Mm8HV,8435887,"['europop', 'swedish pop']",80,0.149,0.708,0.774,0.00109,11.0,0.169,-6.931,0.0,0.0372,126.636,4.0,0.903,,Sweden,,True,48.21,29.13,5.02,0.14,439.0,1482.0,9.0,13.0,0.0,15.0,13.0,0.0,0.0,6.0,0.0,17.0,0.0,0.0,14.0,2.0,0.0,8.0,0.0,0.0,0.0,8.0
Gimme! Gimme! Gimme! (A Man After Midnight),3vkQ5DAB1qQMYO4Mr9zJN6,1979,82,292613,False,ABBA,0LcJLqbBmaGUft1e9Mm8HV,8435887,"['europop', 'swedish pop']",80,0.02,0.749,0.491,0.00899,10.0,0.159,-9.655,1.0,0.0403,119.528,4.0,0.536,,Sweden,,True,39.58,38.42,5.14,0.2,285.0,1101.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,26.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0
Mamma Mia,2TxCwUlqaOH3TIyJqGgR91,1975,78,213266,False,ABBA,0LcJLqbBmaGUft1e9Mm8HV,8435887,"['europop', 'swedish pop']",80,0.295,0.749,0.748,0.000443,2.0,0.469,-7.011,1.0,0.0323,137.547,4.0,0.827,,Sweden,,True,41.67,33.84,4.62,0.18,344.0,1115.0,35.0,19.0,2.0,6.0,5.0,0.0,0.0,6.0,0.0,5.0,4.0,0.0,5.0,9.0,0.0,0.0,2.0,3.0,1.0,1.0
Fernando,4BM8yJ0PzBi2ZewpMTOxtx,1976,68,252960,False,ABBA,0LcJLqbBmaGUft1e9Mm8HV,8435887,"['europop', 'swedish pop']",80,0.627,0.354,0.535,2.9e-06,9.0,0.0808,-8.876,1.0,0.0303,110.821,4.0,0.434,,Sweden,,True,51.61,34.5,5.29,0.24,335.0,1344.0,18.0,8.0,0.0,0.0,1.0,1.0,0.0,10.0,0.0,9.0,0.0,0.0,19.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
Guns for Hire,31F5kR9fPxI7lBV0Stfl4V,1983-08-15,43,204720,False,AC/DC,711MCceyCBcFnzjGY4Q7Un,23954105,"['australian rock', 'hard rock', 'rock']",80,0.00331,0.49,0.902,0.354,9.0,0.0695,-3.759,1.0,0.0493,128.427,4.0,0.825,,Australia,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
Can I Sit Next to You Girl,75uv44LGpyL0DhyLli3aXh,1976-05-14,48,251373,False,AC/DC,711MCceyCBcFnzjGY4Q7Un,23954105,"['australian rock', 'hard rock', 'rock']",80,0.0452,0.568,0.746,0.0587,8.0,0.0924,-5.844,1.0,0.101,134.987,4.0,0.467,,Australia,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
Cold Hearted Man,4IT9XxTHKgivxPk6lS8ZE5,2010-04-29,41,214373,False,AC/DC,711MCceyCBcFnzjGY4Q7Un,23954105,"['australian rock', 'hard rock', 'rock']",80,0.102,0.541,0.756,0.644,7.0,0.27,-5.556,1.0,0.0407,118.209,4.0,0.364,,Australia,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
Evil Walks,5ahPl557niKxia8Kquw1yh,1981-11-23,42,263666,False,AC/DC,711MCceyCBcFnzjGY4Q7Un,23954105,"['australian rock', 'hard rock', 'rock']",80,1.43e-05,0.478,0.886,0.6,9.0,0.0793,-4.642,1.0,0.0354,100.427,4.0,0.488,,Australia,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
